ID,Cod_Tipo_Cart_Rel,UF,Esfera,Quantidade_media_guias,Volume_medio_arrecadado,Volume_medio_tarifas,Margem_contribuicao_media,Tarifa_media
104361900,406,CE,MUNICIPAL,10,96.0,46.0,0.0,4.6
104840564,407,MG,MUNICIPAL,5,0.0,23.0,0.0,4.6
909389167,405,AP,MUNICIPAL,2,0.0,9.0,0.0,4.5
600390519,406,MG,MUNICIPAL,34773,232222.75,140700.25,0.0,4.44
800472769,406,BA,MUNICIPAL,4685,2593.5,15344.0,403.5,4.36
105113096,406,PA,MUNICIPAL,361,281.5,854.0,0.0,4.18
500833972,406,PE,MUNICIPAL,2882,4520.33,19818.33,0.0,4.17
402252363,406,RS,MUNICIPAL,12181,1466816.0,49710.0,0.0,4.08
105554403,407,PE,MUNICIPAL,361,93.5,165.5,0.0,4.06
204722538,407,SP,MUNICIPAL,8543,3294.67,28619.33,0.0,4.04
106360256,406,MG,MUNICIPAL,33867,500408.0,137373.5,0.0,4.02
105668711,405,BA,ESTADUAL,44955,4505907.33,195960.0,0.0,4.01
205274998,406,SP,MUNICIPAL,826,113.0,2788.67,0.0,4.01
922225929,405,RR,ESTADUAL,24843,1844699.0,99628.0,0.0,4.01
800765633,405,PI,ESTADUAL,9211,1464811.67,34577.0,63365.0,3.89
200387161,406,SP,MUNICIPAL,13,972.0,50.0,0.0,3.85
508592272,406,PA,MUNICIPAL,16243,292.5,58245.5,2756.0,3.68
201148980,406,SP,MUNICIPAL,26003,335995.75,88180.25,13897.5,3.63
105649238,405,PB,MUNICIPAL,1393,2098.0,5042.0,221.5,3.61
303899347,407,GO,MUNICIPAL,74,620.0,185.25,0.0,3.61
200313701,406,SP,MUNICIPAL,22058,184546.67,44809.33,746.0,3.57
103353556,406,CE,MUNICIPAL,816,7757.0,2647.5,0.0,3.56
200668265,407,SP,MUNICIPAL,12,0.0,15.0,0.0,3.52
903844755,405,AC,ESTADUAL,29634,527302.0,99761.0,0.0,3.5
106162380,403,MA,ESTADUAL,27658,358077.0,79783.0,0.0,3.47
800664919,403,SE,ESTADUAL,9264,931528.67,25950.33,68.33,3.46
840725352,406,CE,MUNICIPAL,3195,3330.4,14823.8,20.6,3.36
105562607,405,PA,MUNICIPAL,207,650.5,581.5,91.5,3.34
105391188,407,MG,MUNICIPAL,21,0.0,69.0,0.0,3.29
200313672,406,SP,MUNICIPAL,9202,16399.5,13860.0,6090.0,3.28
400167299,406,RS,MUNICIPAL,21755,1016560.0,71333.0,0.0,3.28
800848185,407,MA,MUNICIPAL,141,0.0,406.67,0.0,3.27
105554681,407,PI,MUNICIPAL,41,710.5,154.0,0.0,3.24
200179496,406,SP,MUNICIPAL,45,0.0,146.0,0.0,3.23
904026665,405,AC,ESTADUAL,22152,79410.0,48419.0,8189.25,3.22
600255091,406,MG,MUNICIPAL,23456,268468.0,67922.0,0.0,3.21
303736319,405,DF,ESTADUAL,18051,649193.33,53617.0,0.0,3.2
441212842,406,MG,MUNICIPAL,10556,36247.25,23872.0,534.5,3.19
910587880,405,GO,MUNICIPAL,10373,32150.2,25619.8,82.4,3.15
204830746,407,SP,MUNICIPAL,26,0.0,81.0,0.0,3.12
204490729,407,RS,MUNICIPAL,282,0.0,876.0,0.0,3.11
906071739,405,RR,MUNICIPAL,249,606.0,774.0,0.0,3.11
103795024,406,CE,MUNICIPAL,275,1066.67,75.33,0.0,3.09
803662738,406,BA,MUNICIPAL,951,1290.0,788.0,0.0,3.09
906072443,407,MG,MUNICIPAL,277,0.0,851.0,0.0,3.08
103422876,406,CE,MUNICIPAL,145,1432.0,238.0,0.0,3.06
104551530,407,PB,MUNICIPAL,509,141.33,1465.0,0.0,3.06
105174655,405,GO,MUNICIPAL,12978,391803.75,31051.5,0.0,3.06
105552018,407,PI,MUNICIPAL,94,16800.0,288.0,0.0,3.06
511827445,406,BA,MUNICIPAL,7,12605.0,17.5,0.0,3.05
111606110,405,RR,ESTADUAL,2717,397622.0,5745.5,19.0,3.03
200329663,406,SP,MUNICIPAL,24051,161151.75,52886.75,0.0,3.03
105022026,406,BA,MUNICIPAL,474,142.5,15.0,0.0,3.01
100789139,406,RJ,MUNICIPAL,2,0.0,6.0,0.0,3.0
103847812,407,RN,MUNICIPAL,1,0.0,3.0,0.0,3.0
104890084,407,MG,MUNICIPAL,650,300.0,1952.0,0.0,3.0
105557708,407,PB,MUNICIPAL,1,0.0,3.0,0.0,3.0
205798030,407,RS,MUNICIPAL,251,2.0,576.0,0.0,3.0
906072525,407,PR,MUNICIPAL,2,0.0,6.0,0.0,3.0
103610804,406,CE,MUNICIPAL,2127,3541.0,7633.5,0.0,2.99
800721663,407,BA,MUNICIPAL,178,2999.0,531.0,0.0,2.99
906072680,406,SP,MUNICIPAL,86,2.5,90.0,0.0,2.98
922872617,403,RN,ESTADUAL,10103,2655585.0,30006.0,0.0,2.97
103529506,407,PI,MUNICIPAL,340,0.0,1005.0,0.0,2.96
200144066,406,SP,MUNICIPAL,23173,676349.0,67150.5,0.0,2.94
106380131,405,PI,MUNICIPAL,27344,238965.0,79999.0,0.0,2.93
106445069,403,MG,MUNICIPAL,18421,1809152.0,53629.0,0.0,2.91
105151498,407,BA,MUNICIPAL,92,4277.0,264.0,0.0,2.87
500558301,406,AL,MUNICIPAL,5933,2199.2,19182.2,0.0,2.86
200060258,407,SP,MUNICIPAL,5,0.0,15.0,8.33,2.85
500688950,405,RN,ESTADUAL,214686,25696350.0,609748.0,0.0,2.84
511150,407,MS,MUNICIPAL,1272,0.0,3585.0,0.0,2.82
501268241,406,RN,MUNICIPAL,1844,0.0,5192.0,0.0,2.82
800729700,407,SE,MUNICIPAL,148,125.0,414.0,0.0,2.8
101144226,406,ES,MUNICIPAL,1164,3265.0,3188.5,0.0,2.78
204560791,406,PR,MUNICIPAL,9432,15638.4,20760.8,2131.6,2.78
105013520,407,BA,MUNICIPAL,342,5729.0,946.0,0.0,2.77
201370014,406,SP,MUNICIPAL,1136,0.0,3132.0,0.0,2.76
800456229,407,BA,MUNICIPAL,547,325.0,1480.0,0.0,2.71
200832753,406,SP,MUNICIPAL,439,0.0,1185.0,0.0,2.7
103932497,406,RJ,MUNICIPAL,16619,0.0,44784.0,0.0,2.69
104724195,407,PB,MUNICIPAL,21,8495.0,57.5,0.0,2.69
105601718,407,TO,MUNICIPAL,224,140.0,598.0,0.0,2.67
203244254,406,SP,MUNICIPAL,8,0.0,21.0,0.0,2.67
101070854,405,ES,ESTADUAL,15060,1618918.0,38665.0,0.0,2.64
105552123,406,RJ,MUNICIPAL,1925,20624.0,5071.0,0.0,2.63
104485083,407,AL,MUNICIPAL,64,4325.0,167.0,0.0,2.61
101106560,406,ES,MUNICIPAL,370,455.0,1033.0,0.0,2.6
906072328,406,MA,MUNICIPAL,102,3453.0,265.0,0.0,2.6
200536226,407,SP,MUNICIPAL,151,0.0,391.0,0.0,2.59
596454,407,MS,MUNICIPAL,183,0.0,123.5,0.0,2.58
104875176,403,PE,MUNICIPAL,18156,34521091.0,46838.0,0.0,2.58
200341843,406,SP,MUNICIPAL,81,0.0,280.0,0.0,2.57
104882150,407,MG,MUNICIPAL,578,10836.0,1480.0,0.0,2.56
200444424,407,SP,MUNICIPAL,9,763.0,23.0,0.0,2.56
103493375,407,RN,MUNICIPAL,68,257.5,173.0,0.0,2.55
104488397,403,RN,ESTADUAL,19024,0.0,47380.0,0.0,2.55
906072285,405,AP,MUNICIPAL,70,618.0,46.5,0.0,2.55
801044051,406,BA,MUNICIPAL,11444,11014.0,22843.0,0.0,2.54
904245649,406,RO,MUNICIPAL,11617,11015.0,21477.8,1805.8,2.54
105505008,407,MG,MUNICIPAL,39,51.5,109.5,0.0,2.53
104569663,407,PB,MUNICIPAL,487,4143.33,1055.0,0.0,2.52
106147128,407,TO,MUNICIPAL,311,675.5,698.0,0.0,2.52
103675390,407,PI,MUNICIPAL,94,115.0,234.0,0.0,2.49
400072103,407,RS,MUNICIPAL,261,0.0,644.0,113.0,2.47
512400918,406,CE,MUNICIPAL,53,0.0,91.2,0.0,2.47
100947469,407,MG,MUNICIPAL,66,294.5,160.5,0.0,2.46
104789064,407,MG,MUNICIPAL,131,2122.5,324.0,0.0,2.46
105851224,407,MA,MUNICIPAL,155,0.0,357.0,0.0,2.46
300396439,407,GO,MUNICIPAL,168,38409.0,324.25,0.0,2.45
103535828,407,RN,MUNICIPAL,43,1517.2,118.6,0.0,2.43
600115913,406,MG,MUNICIPAL,1748,20473.33,3636.33,0.0,2.43
300262896,406,MT,MUNICIPAL,9556,23040.0,20943.6,110.6,2.42
844203450,406,MA,MUNICIPAL,414,80305.0,815.0,47.25,2.42
103961080,403,RN,ESTADUAL,841,0.0,1934.5,0.0,2.41
106123467,407,RN,MUNICIPAL,205,55.0,495.0,0.0,2.41
800720030,407,SE,MUNICIPAL,147,9600.5,367.0,0.0,2.41
104775999,407,AL,MUNICIPAL,692,3330.0,1661.0,0.0,2.4
906070705,405,AP,MUNICIPAL,464,6848.0,897.0,0.0,2.4
203524086,407,RS,MUNICIPAL,168,452.0,402.0,0.0,2.39
210548431,405,RR,ESTADUAL,9165,8347.0,13000.33,0.0,2.39
