ID,Cod_Tipo_Cart_Rel,UF,Esfera,Media_de_quantidade,Media_de_volume,Media_de_tarifas,Media_de_margem,Tarifa_media
800809325,406,MA,MUNICIPAL,265.00,0.00,17757.00,0.00,370.91
35086758,403,PB,ESTADUAL,285.00,233.50,21099.00,0.00,88.23
106229821,403,MT,ESTADUAL,42224.00,120169566.50,2084178.50,0.00,58.21
204823794,406,SP,MUNICIPAL,699.75,1113.25,1673.25,22.50,23.30
200964047,400,SP,ESTADUAL,46241.75,263002381.00,787680.75,109422.00,22.31
104839035,405,MA,ESTADUAL,11296.25,139517.75,226903.75,0.00,21.08
501466442,403,PE,ESTADUAL,14037.00,1128944.80,297443.40,60106.20,20.42
203015687,406,SP,MUNICIPAL,1.00,0.00,20.00,0.00,20.00
104372038,403,MA,ESTADUAL,77435.00,23867614.00,1520186.00,0.00,19.63
103914420,405,RN,ESTADUAL,11417.00,607.00,203566.00,0.00,17.83
500248069,405,PB,ESTADUAL,5441.00,1054538.33,83729.33,723.00,17.11
511597022,407,RN,ESTADUAL,3106.50,0.00,26056.00,665.50,16.47
476168,405,MS,ESTADUAL,20155.00,8359988.00,268122.33,0.00,13.50
500019475,403,CE,MUNICIPAL,24852.00,228159.00,326765.00,0.00,12.15
800797784,406,MA,MUNICIPAL,10846.80,14944.60,79111.20,5541.40,11.86
900216186,407,SP,MUNICIPAL,8.00,53.00,82.50,0.00,11.32
200483758,406,SP,MUNICIPAL,8741.00,0.00,94435.00,0.00,10.80
921374492,403,RN,ESTADUAL,23989.00,14788771.00,242327.00,0.00,10.10
200963800,400,SP,MUNICIPAL,28025.00,3689297.00,241384.00,0.00,8.61
105319629,403,RO,ESTADUAL,14088.00,85147.00,117132.00,0.00,8.31
901128509,406,SP,MUNICIPAL,2.00,0.00,16.00,0.00,8.00
103968970,406,CE,MUNICIPAL,1941.50,33159.00,16515.00,0.00,7.71
411913931,405,GO,MUNICIPAL,13120.00,125718.00,99767.00,0.00,7.66
800351496,406,BA,MUNICIPAL,3182.50,0.00,43878.50,0.00,7.62
204847039,403,MS,ESTADUAL,26334.33,62400296.67,185986.67,0.00,7.18
910586031,403,RS,ESTADUAL,19979.00,5333161.00,140408.00,0.00,7.03
101349279,406,RJ,MUNICIPAL,20259.00,678.00,140952.00,0.00,6.96
104484020,403,RN,ESTADUAL,63112.00,643163.00,430644.00,171431.00,6.82
802578527,403,BA,ESTADUAL,18838.00,1673762.00,124136.00,0.00,6.59
104533926,405,PB,ESTADUAL,23933.00,0.00,156338.00,0.00,6.53
101026414,407,MG,MUNICIPAL,1.00,0.00,6.00,0.00,6.00
105541436,407,MA,MUNICIPAL,1.00,1200.00,6.00,0.00,6.00
105547378,407,RN,MUNICIPAL,1.00,20.00,6.00,0.00,6.00
200563667,406,SP,MUNICIPAL,4820.00,50.00,4608.50,0.00,5.71
35512087,405,AL,MUNICIPAL,5102.60,905.60,25570.20,17.20,5.00
400854726,403,RS,MUNICIPAL,12347.00,1831825.00,60904.00,0.00,4.93
900534828,406,SP,MUNICIPAL,354.00,5476.00,1860.50,0.00,4.90
105302532,407,TO,MUNICIPAL,8.50,15.00,29.00,0.00,4.63
200668193,406,SP,MUNICIPAL,13.00,0.00,60.00,0.00,4.62
104361900,406,CE,MUNICIPAL,10.00,96.00,46.00,0.00,4.60
104840564,407,MG,MUNICIPAL,5.00,0.00,23.00,0.00,4.60
909389167,405,AP,MUNICIPAL,2.00,0.00,9.00,0.00,4.50
600390519,406,MG,MUNICIPAL,34773.75,232222.75,140700.25,0.00,4.44
800472769,406,BA,MUNICIPAL,4685.50,2593.50,15344.00,403.50,4.36
105113096,406,PA,MUNICIPAL,361.00,281.50,854.00,0.00,4.18
500833972,406,PE,MUNICIPAL,2882.00,4520.33,19818.33,0.00,4.17
402252363,406,RS,MUNICIPAL,12181.00,1466816.00,49710.00,0.00,4.08
105554403,407,PE,MUNICIPAL,361.00,93.50,165.50,0.00,4.06
204722538,407,SP,MUNICIPAL,8543.33,3294.67,28619.33,0.00,4.04
106360256,406,MG,MUNICIPAL,33867.50,500408.00,137373.50,0.00,4.02
105668711,405,BA,ESTADUAL,44955.00,4505907.33,195960.00,0.00,4.01
205274998,406,SP,MUNICIPAL,826.00,113.00,2788.67,0.00,4.01
922225929,405,RR,ESTADUAL,24843.00,1844699.00,99628.00,0.00,4.01
800765633,405,PI,ESTADUAL,9211.67,1464811.67,34577.00,63365.00,3.89
200387161,406,SP,MUNICIPAL,13.00,972.00,50.00,0.00,3.85
508592272,406,PA,MUNICIPAL,16243.75,292.50,58245.50,2756.00,3.68
201148980,406,SP,MUNICIPAL,26003.00,335995.75,88180.25,13897.50,3.63
105649238,405,PB,MUNICIPAL,1393.00,2098.00,5042.00,221.50,3.61
303899347,407,GO,MUNICIPAL,74.50,620.00,185.25,0.00,3.61
200313701,406,SP,MUNICIPAL,22058.67,184546.67,44809.33,746.00,3.57
103353556,406,CE,MUNICIPAL,816.50,7757.00,2647.50,0.00,3.56
200668265,407,SP,MUNICIPAL,12.00,0.00,15.00,0.00,3.52
903844755,405,AC,ESTADUAL,29634.00,527302.00,99761.00,0.00,3.50
106162380,403,MA,ESTADUAL,27658.00,358077.00,79783.00,0.00,3.47
800664919,403,SE,ESTADUAL,9264.67,931528.67,25950.33,68.33,3.46
840725352,406,CE,MUNICIPAL,3195.80,3330.40,14823.80,20.60,3.36
105562607,405,PA,MUNICIPAL,207.50,650.50,581.50,91.50,3.34
105391188,407,MG,MUNICIPAL,21.00,0.00,69.00,0.00,3.29
200313672,406,SP,MUNICIPAL,9202.00,16399.50,13860.00,6090.00,3.28
400167299,406,RS,MUNICIPAL,21755.00,1016560.00,71333.00,0.00,3.28
800848185,407,MA,MUNICIPAL,141.00,0.00,406.67,0.00,3.27
105554681,407,PI,MUNICIPAL,41.00,710.50,154.00,0.00,3.24
200179496,406,SP,MUNICIPAL,45.50,0.00,146.00,0.00,3.23
904026665,405,AC,ESTADUAL,22152.50,79410.00,48419.00,8189.25,3.22
600255091,406,MG,MUNICIPAL,23456.50,268468.00,67922.00,0.00,3.21
303736319,405,DF,ESTADUAL,18051.00,649193.33,53617.00,0.00,3.20
441212842,406,MG,MUNICIPAL,10556.50,36247.25,23872.00,534.50,3.19
910587880,405,GO,MUNICIPAL,10373.80,32150.20,25619.80,82.40,3.15
204830746,407,SP,MUNICIPAL,26.00,0.00,81.00,0.00,3.12
204490729,407,RS,MUNICIPAL,282.00,0.00,876.00,0.00,3.11
906071739,405,RR,MUNICIPAL,249.00,606.00,774.00,0.00,3.11
103795024,406,CE,MUNICIPAL,275.67,1066.67,75.33,0.00,3.09
803662738,406,BA,MUNICIPAL,951.00,1290.00,788.00,0.00,3.09
906072443,407,MG,MUNICIPAL,277.00,0.00,851.00,0.00,3.08
